frame,time,x,y,area,x to arena,y to arena,measure,in trakcing roi
449,14.556,989.72,221.07,6631.50,nan,nan,nan,False
450,14.590,989.70,221.65,6793.50,nan,nan,nan,False
451,14.623,989.82,222.02,6835.00,nan,nan,nan,False
452,14.656,990.21,221.92,6916.00,nan,nan,nan,False
453,14.689,989.48,221.92,6710.00,nan,nan,nan,False
454,14.722,989.53,221.62,6938.00,nan,nan,nan,False
455,14.752,989.31,222.72,6887.00,nan,nan,nan,False
456,14.785,989.27,222.57,6796.00,nan,nan,nan,False
457,14.813,989.35,222.43,7064.00,nan,nan,nan,False
458,14.846,989.64,222.10,6877.00,nan,nan,nan,False
459,14.879,988.98,222.33,6807.50,nan,nan,nan,False
460,14.918,989.34,223.38,6893.50,nan,nan,nan,False
